Nombre	Vacunas exijidas	Vacunas recomendadas	,,,,
ESTADOS UNIDOS DE AM&#xC9;RICA	Fiebre Amarilla (2013): ningún requisito de vacunación para los viajeros internacionales.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
GUATEMALA	Se exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros mayores de 1 año de edad procedentes de países con  zonas con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan transitado más de 12 horas por aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.

El certificado de vacunación frente a la fiebre amarilla es válido de por vida.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
FRANCIA	Ningún requisito de vacunación para los viajeros internacionales.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
GUAYANA FRANCESA	Se exige certificado de vacunación contra la Fiebre Amarilla (2013) a todos los viajeros mayores de un año de edad. Recomendaciones de vacunación contra la fiebre amarilla: Sí.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
ESTONIA	Fiebre Amarilla (2015): ningún requisito de vacunación para los viajeros internacionales.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
GRANADA	Se exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros mayores de 1 año de edad procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: ninguna.

El certificado de vacunación frente a la fiebre amarilla es válido para 10 años.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
ESPA&#xD1;A	Ningún requisito de vacunación para los viajeros internacionales.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
GAB&#xD3;N	Se exige certificado de vacunación contra la Fiebre Amarilla a todos los viajeros mayores de un año. Recomendaciones de vacunación contra la fiebre amarilla: Sí.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
ETIOP&#xCD;A	Se exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros mayores de 1 año procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: Sí. Se recomienda para todos los pasajeros a partir de 9 meses excepto los mencionados a continuación. Generalmente no recomendada (La vacunación contra la fiebre amarilla está generalmente no recomendada en áreas donde el riesgo de exposición es bajo. Sin embargo, la vacunación debe considerarse en aquel pequeño subgrupo de viajeros que tiene un riesgo de exposición aumentado (por Ej.: viaje de larga duración, amplia exposición a mosquitos, imposibilidad de evitar la picadura de mosquito). Cuando se considere la vacunación cualquier viajero debe tener en cuenta el riesgo de infectarse con el virus de la fiebre amarilla, los requisitos de entrada de cada país y  los factores de riesgo individual para desarrollar un efecto adverso grave a la vacuna (Ej.: edad, estado inmune).) a viajeros cuyo itinerario se limite a las provincias de Afar y Somali.

El certificado de vacunación frente a la fiebre amarilla es válido para 10 años.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
GRECIA	Fiebre Amarilla (2015): ningún requisito de vacunación para los viajeros internacionales.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
EGIPTO	Se exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros mayores de 9 meses procedentes de zonas con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. A todas las personas procedentes de Sudán se les exige o bien un certificado de vacunación o bien un certificado del lugar emitido por un centro oficial de Sudán afirmando que el viajero no ha estado en la zona sur por debajo de los 15º de latitud norte en los 6 días previos. Recomendaciones de vacunación contra la fiebre amarilla: No.

El certificado de vacunación frente a la fiebre amarilla es válido de por vida.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
GAMBIA	Se exige certificado de vacunación contra la Fiebre Amarilla (2013) a los viajeros mayores de 9 meses procedentes de países con riesgo de transmisión de la fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: Sí.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
GHANA	Se exige certificado de vacunación contra la Fiebre Amarilla (2015) a todos los viajeros mayores de 9 meses de edad. Recomendaciones de vacunación contra la fiebre amarilla: Sí.

El certificado de vacunación frente a la fiebre amarilla es válido de por vida.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
FIJI (FIDJI)	Se exige certificado de vacunación contra la fiebre amarilla a los viajeros mayores de un año de edad que llegan de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: ninguna.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
GUADALUPE	Se exige certificado de vacunación contra la Fiebre Amarilla a los viajeros mayores de 1 año de edad procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan realizado tránsitos de más de 12 horas en aeropuertos de países con riesgo de transmisión de fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
IRAQ	Se exige certificado de vacunación contra la Fiebre Amarilla (2015) a los viajeros de más de 9 meses de edad procedentes de países con riesgo de transmisión de la fiebre amarilla y a aquellos viajeros que hayan transitado más de 12 horas en aeropuertos de países con riesgo de transmisión de la fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.

El certificado de vacunación frente a la fiebre amarilla es válido para 10 años.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
ISLAS CHRISTMAS	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	Los mismos requisitos que para Australia continental. Ninguna recomendación contra la fiebre amarilla.	,
ISLAS CAIM&#xC1;N	Ningún requisito de vacunación para los viajeros internacionales.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
INDONESIA	Se exige certificado de vacunación contra la Fiebre Amarilla a los viajeros mayores de 9 meses de edad procedentes de países con riesgo de transmisión de la fiebre amarilla. Recomendaciones de vacunación contra la fiebre amarilla: No.	Es conveniente tener actualizado el calendario oficial de vacunaciones. Pueden ser recomendables otras vacunas, cuya prescripción deberá realizarse de forma personalizada en cualquiera de los Centros de Vacunación Internacional autorizados.	,
